MRP,processor,RAM,os,RAM TYPE,Brand,ROM_SIZE,ROM_TYPE
34990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,acer,512 GB,SSD
29990,Intel Core i3 Processor,4 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,256 GB,SSD
88990,M1 Processor,8 GB,Mac OS Operating System,DDR4 RAM,APPLE,256 GB,SSD
36990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,256 GB,SSD
65990,Intel Core i7 Processor,8 GB,Windows 10 Operating System,DDR4 RAM,MSI,512 GB,SSD
33490,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
60990,Intel Core i5 Processor,16 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
39990,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
46990,AMD Ryzen 5 Hexa Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,HP,512 GB,SSD
59990,AMD Ryzen 7 Octa Core Processor,16 GB,Windows 11 Operating System,DDR4 RAM,ASUS,512 GB,SSD
114990,Intel Core i7 Processor,16 GB,Windows 10 Operating System,DDR4 RAM,MSI,1 TB,SSD
39990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,RedmiBook,512 GB,SSD
42990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,LPDDR4X RAM,Infinix,512 GB,SSD
89990,Intel Core i5 Processor,16 GB,Windows 11 Operating System,LPDDR5 RAM,ASUS,512 GB,SSD
38705,AMD Ryzen 5 Quad Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,512 GB,SSD
79990,AMD Ryzen 7 Octa Core Processor,8 GB,Windows 11 Operating System,DDR4 RAM,MSI,512 GB,SSD
70990,Intel Core i5 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,ASUS,1 TB,SSD
33900,Intel Core i3 Processor,8 GB,Windows 11 Operating System,DDR4 RAM,Lenovo,256 GB,SSD
59990,Intel Evo Core i5 Processor,8 GB,Windows 10 Operating System,DDR4 RAM,realme,512 GB,SSD
